userId,courseId,course_name,rating
18864,413,positive-psychology-visionary-science,5
37012,273,innovation-management,5
26792,523,teamwork-skills-effective-communication,5
26697,259,html-css-javascript-for-web-developers,5
17697,15,analytics-excel,4
4376,214,fundamentals-of-graphic-design,4
11083,380,negotiation-skills,4
21696,160,english-principles,5
5775,332,learning-how-to-learn,5
2599,82,computer-networking,5
32919,335,linear-algebra-machine-learning,5
29962,439,python,5
3424,381,neural-networks-deep-learning,5
4264,192,fe-exam,5
36311,86,containerized-apps-on-aws,4
17059,12,algorithmic-toolbox,3
31359,286,intro-business-analytics,5
22456,381,neural-networks-deep-learning,5
23953,373,music-theory,2
26294,348,marketing-digital,4
26710,12,algorithmic-toolbox,4
5356,241,global-sustainable-development,5
17394,548,uva-darden-continous-delivery-devops,5
7547,55,camino-excelencia-gestion-proyectos,4
11330,36,bcg-uva-darden-digital-transformation,5
9960,14,analytics-business-metrics,5
8077,229,gestionempresarialpyme,3
2158,475,science-exercise,5
16651,436,psychological-first-aid,5
11464,340,machine-learning-projects,5
12922,320,it-security,5
22386,289,intro-data-science-programacion-estadistica-r,5
19899,578,wharton-marketing,5
33853,332,learning-how-to-learn,5
31087,571,wharton-customer-analytics,5
1475,50,business-english-intro,5
28942,74,cloud-infrastructure-design-process,5
1940,354,mcmc-bayesian-statistics,5
26814,381,neural-networks-deep-learning,1
29267,521,teach-online,5
12547,348,marketing-digital,5
28095,402,personal-branding,5
38760,21,aprendiendo-a-aprender,5
36548,338,machine-learning-business-professionals,4
21799,457,quantitative-methods,5
20850,503,sql-for-data-science,5
9456,517,system-administration-it-infrastructure-services,4
33402,588,wind-energy,4
36646,329,learn-korean,5
11893,182,excel-essentials,5
1464,563,vital-signs,5
18355,370,motivate-people-teams,5
40583,220,gcp-fundamentals,5
35459,554,uva-darden-getting-started-agile,5
31407,381,neural-networks-deep-learning,5
5708,439,python,5
36393,13,american-law,5
24998,309,introduction-tensorflow,5
15307,337,machine-learning,5
32176,442,python-data,5
27720,584,what-is-a-proof,4
32473,341,machine-learning-with-python,5
39671,518,systematic-review,5
33203,439,python,5
17912,584,what-is-a-proof,4
304,234,gis,5
35248,445,python-databases,5
37652,351,mathematical-thinking,5
21404,231,getting-started-with-essay-writing,4
32987,427,professional-emails-english,5
30699,381,neural-networks-deep-learning,5
37597,381,neural-networks-deep-learning,4
9309,409,positive-psychiatry,5
16611,439,python,5
6520,126,democracia,5
32377,332,learning-how-to-learn,5
4789,427,professional-emails-english,5
35585,337,machine-learning,5
21632,332,learning-how-to-learn,5
29521,449,python-machine-learning,5
36023,524,technical-support-fundamentals,5
14215,381,neural-networks-deep-learning,4
22824,82,computer-networking,5
3628,361,mindshift,5
33659,199,financial-markets-global,5
10641,405,photography,5
25902,316,introduction-to-software-product-management,5
12345,43,bioinformatics,3
11696,459,r-programming,5
7960,332,learning-how-to-learn,5
6845,446,python-for-applied-data-science-ai,5
35586,451,python-operating-system,5
13098,442,python-data,5
16072,441,python-crash-course,5
16309,582,wharton-quantitative-modeling,5
11403,450,python-network-data,5
28694,194,finance-for-non-finance,5
11039,586,what-is-datascience,5
12133,310,introduction-to-ai,5
18370,293,intro-sql,5
7818,14,analytics-business-metrics,4
26789,427,professional-emails-english,4
24627,214,fundamentals-of-graphic-design,5
16560,182,excel-essentials,5
15306,14,analytics-business-metrics,5
17105,442,python-data,5
8450,381,neural-networks-deep-learning,5
33097,180,excel-data-analysis,5
13061,49,business,4
646,380,negotiation-skills,5
10087,198,financial-engineering-1,5
29650,310,introduction-to-ai,5
39732,310,introduction-to-ai,5
5355,9,ai-for-everyone,5
4401,340,machine-learning-projects,5
36598,498,speak-english-professionally,4
25943,332,learning-how-to-learn,5
24794,13,american-law,5
8998,529,the-science-of-well-being,5
11576,58,cats-and-dogs,5
6005,388,nutricion-obesidad-sobrepeso,5
4184,124,decision-making,5
9331,215,fundamentals-of-reinforcement-learning,4
11546,448,python-functions-files-dictionaries,4
6266,443,python-data-analysis,5
809,36,bcg-uva-darden-digital-transformation,5
23197,182,excel-essentials,5
37273,353,matlab,5
1543,586,what-is-datascience,5
25575,77,company-future-management,5
39367,581,wharton-people-analytics,5
23202,524,technical-support-fundamentals,5
8420,427,professional-emails-english,5
34284,125,deep-neural-network,5
23830,361,mindshift,5
20091,439,python,5
9472,439,python,3
21508,189,exposure-photography,5
1443,221,gcp-infrastructure-core-services,5
6424,114,data-analysis-with-python,5
28557,443,python-data-analysis,5
28970,529,the-science-of-well-being,5
1837,402,personal-branding,5
37663,261,human-needs,5
36621,207,food-beverage-management,5
33751,508,strategic-management,5
33414,309,introduction-tensorflow,5
39889,337,machine-learning,5
18413,491,social-psychology,5
27841,335,linear-algebra-machine-learning,5
14353,298,introduction-cybersecurity-cyber-attacks,4
19752,63,childnutrition,5
4666,120,data-scientists-tools,5
25870,175,everyday-excel-part-1,5
22194,153,electronics,5
22332,501,sports-society,5
3313,182,excel-essentials,5
34551,394,oralcavity,4
21718,289,intro-data-science-programacion-estadistica-r,5
8673,57,careerdevelopment,5
2413,396,os-power-user,5
15641,14,analytics-business-metrics,4
108,459,r-programming,3
11654,362,ml-foundations,5
19473,381,neural-networks-deep-learning,3
25353,323,journalism,5
40030,561,version-control-with-git,5
4006,328,learn-chinese,5
21621,556,uva-darden-market-analytics,5
8597,9,ai-for-everyone,5
17668,9,ai-for-everyone,5
1818,328,learn-chinese,5
29619,442,python-data,5
6915,31,aws-fundamentals-going-cloud-native,5
14429,361,mindshift,5
7524,265,iiot-google-cloud-platform,5
12821,125,deep-neural-network,5
31028,67,classification-vector-spaces-in-nlp,2
23237,182,excel-essentials,4
39731,9,ai-for-everyone,5
36257,120,data-scientists-tools,5
39108,160,english-principles,5
22691,446,python-for-applied-data-science-ai,5
14856,65,ciencia-computacao-python-conceitos,3
20886,241,global-sustainable-development,5
28039,252,guitar,5
19464,337,machine-learning,5
39738,225,genetics-evolution,5
34212,345,manage-health-covid-19,3
39726,445,python-databases,5
26930,580,wharton-operations-analytics,4
24655,194,finance-for-non-finance,5
16490,440,python-basics,4
21859,524,technical-support-fundamentals,5
7074,160,english-principles,5
7721,101,covid-19-what-you-need-to-know,5
8585,116,data-lakes-data-warehouses-gcp,5
956,582,wharton-quantitative-modeling,3
11271,567,wharton-accounting,4
13460,93,convolutional-neural-networks-tensorflow,5
39747,329,learn-korean,5
7938,332,learning-how-to-learn,5
40150,380,negotiation-skills,5
31737,439,python,3
9526,180,excel-data-analysis,5
14777,502,sql-data-science,5
23179,182,excel-essentials,5
39514,445,python-databases,5
22058,402,personal-branding,5
27405,459,r-programming,3
19599,329,learn-korean,4
32770,32,aws-machine-learning,5
32125,337,machine-learning,5
36202,249,google-machine-learning,2
12874,141,drug-commercialization,5
39183,292,intro-self-driving-cars,5
14613,340,machine-learning-projects,5
6881,475,science-exercise,4
29803,9,ai-for-everyone,5
22319,131,develop-your-musicianship,5
30606,185,excel-para-negocios,5
1974,175,everyday-excel-part-1,5
38840,553,uva-darden-foundations-business-strategy,5
38263,349,marketing-gerencial,5
22808,259,html-css-javascript-for-web-developers,5
35740,392,oilandgas,5
15975,250,grammar-punctuation,5
31455,588,wind-energy,5
29689,442,python-data,4
31014,114,data-analysis-with-python,4
31637,361,mindshift,5
31405,40,big-data-introduction,5
19517,554,uva-darden-getting-started-agile,5
20730,474,schizophrenia,5
13380,199,financial-markets-global,5
34834,381,neural-networks-deep-learning,5
36702,82,computer-networking,3
19136,71,clinical-trials,5
5330,439,python,5
9131,40,big-data-introduction,5
12702,102,craft-of-plot,4
3515,331,learn-to-program,5
17996,124,decision-making,4
34378,347,managing-human-resources,5
35989,337,machine-learning,5
13973,517,system-administration-it-infrastructure-services,5
38213,193,feminism-social-justice,5
1537,23,arbitration-international-disputes,5
32275,459,r-programming,5
37661,378,negociacion,4
38916,457,quantitative-methods,5
33655,529,the-science-of-well-being,5
39216,53,c-for-everyone,5
27561,459,r-programming,5
1777,56,cancer,5
16518,126,democracia,5
37640,125,deep-neural-network,5
19996,509,success,5
29760,123,datasciencemathskills,5
9207,180,excel-data-analysis,5
2000,119,data-science-methodology,4
40528,381,neural-networks-deep-learning,5
15965,21,aprendiendo-a-aprender,5
8779,227,gestion-organizaciones-efectivas,4
30585,189,exposure-photography,5
39633,214,fundamentals-of-graphic-design,5
13519,338,machine-learning-business-professionals,5
18876,93,convolutional-neural-networks-tensorflow,5
10491,529,the-science-of-well-being,5
23347,182,excel-essentials,5
358,182,excel-essentials,5
36101,578,wharton-marketing,4
30619,220,gcp-fundamentals,4
38226,524,technical-support-fundamentals,5
34348,185,excel-para-negocios,5
7584,401,perfect-tenses-modals,5
3529,440,python-basics,5
38813,45,bootstrap-4,5
39452,218,gcp-big-data-ml-fundamentals,4
26084,307,introduction-psychology,5
22133,529,the-science-of-well-being,5
6514,571,wharton-customer-analytics,5
8278,206,food-and-health,5
16380,540,understanding-financial-markets,4
20686,378,negociacion,5
18702,529,the-science-of-well-being,5
13362,57,careerdevelopment,5
15415,393,open-source-tools-for-data-science,5
507,433,project-planning,5
21452,102,craft-of-plot,5
421,524,technical-support-fundamentals,5
36354,222,gcp-infrastructure-foundation,5
22996,479,self-determination-theory,5
10621,284,international-taxation,5
3770,293,intro-sql,5
3739,120,data-scientists-tools,4
11981,594,writing-for-business,5
952,218,gcp-big-data-ml-fundamentals,5
26820,429,programming-fundamentals,4
831,367,money-banking,5
22257,271,infrastructure-investing,5
27051,446,python-for-applied-data-science-ai,5
38765,9,ai-for-everyone,4
37716,473,schedule-projects,5
20976,406,physiology,5
35211,114,data-analysis-with-python,5
1307,381,neural-networks-deep-learning,4
33738,571,wharton-customer-analytics,4
1526,48,build-a-computer,5
27641,9,ai-for-everyone,5
22202,337,machine-learning,5
